Distrito,N° de Escuela,Matrícula Total,1° año - Alumnos,1° año - Sobreedad,1° año - Permanencia,1° año - Aprobados,2° año - Alumnos,2° año - Sobreedad,2° año - Permanencia,2° año - Aprobados,3° año - Alumnos,3° año - Sobreedad,3° año - Permanencia,3° año - Aprobados,4° año - Alumnos,4° año - Sobreedad,4° año - Permanencia,4° año - Aprobados,5° año - Alumnos,5° año - Sobreedad,5° año - Permanencia,5° año - Aprobados,6° año - Alumnos,6° año - Sobreedad,6° año - Permanencia,6° año - Aprobados,Aprobados en PDL (%),Aprobados en Matemática (%)
1_LA PLATA,EP N° 199,354,54,0,0,54,59,2,0,59,65,1,3,62,65,1,5,60,60,5,1,59,51,2,1,50,91.05%,85.24%
1_LA PLATA,EP N° 203,213,31,0,0,31,37,1,1,36,42,1,1,41,35,2,0,35,31,0,3,28,37,5,2,35,89.26%,81.76%
1_LA PLATA,EP N° 336,193,40,0,0,40,32,0,2,30,28,1,1,27,33,2,0,33,25,4,1,24,35,0,0,35,85.63%,85.86%
1_LA PLATA,EP N° 456,270,40,0,0,40,44,4,1,43,51,1,2,49,38,0,4,34,45,0,2,43,52,4,2,50,95.80%,81.33%
1_LA PLATA,EP N° 503,183,27,0,0,27,30,1,0,30,32,1,0,32,31,3,1,30,33,0,1,32,30,3,1,29,92.32%,87.70%
1_LA PLATA,EP N° 609,440,76,0,0,76,73,3,2,71,73,4,3,70,79,3,0,79,68,7,3,65,71,5,4,67,96.25%,83.36%
1_LA PLATA,EP N° 798,278,52,0,0,52,43,1,1,42,45,4,3,42,47,2,0,47,45,1,1,44,46,3,2,44,90.09%,97.49%
1_LA PLATA,EP N° 823,316,41,0,0,41,53,2,0,53,54,1,1,53,69,7,1,68,53,7,1,52,46,3,2,44,88.33%,93.11%
1_LA PLATA,EP N° 956,440,61,0,0,61,79,2,4,75,93,4,1,92,74,5,0,74,69,4,1,68,64,5,1,63,98.11%,82.48%
1_LA PLATA,EP N° 1003,323,49,0,0,49,52,6,3,49,60,5,2,58,46,3,0,46,56,2,1,55,60,5,4,56,97.42%,94.04%
1_LA PLATA,EP N° 1123,190,32,0,0,32,33,0,0,33,29,2,1,28,27,2,0,27,34,1,2,32,35,3,1,34,86.31%,86.62%
1_LA PLATA,EP N° 1256,316,48,0,0,48,48,6,1,47,55,5,1,54,59,4,2,57,58,2,0,58,48,3,0,48,98.17%,97.17%
1_LA PLATA,EP N° 1356,246,44,0,0,44,43,6,2,41,40,1,1,39,38,1,1,37,45,5,2,43,36,2,4,32,86.96%,89.33%
